location,latitude,longitude,confirmed,dead,recovered
Belgium,50.503887,4.469936,47859,7501,11283
South Africa,-30.559482,22.937506,5350,103,2073
Austria,47.516231,14.550072,15452,584,12907
Qatar,25.354826,51.183884,12564,10,1243
Australia,-25.274398,133.775136,6752,91,5715
Coral Princess,26.648165,-82.035419,12,2,0
USS Theodore Roosevelt,0,0,969,1,29
Libya,26.3351,17.228331,61,2,18
Nicaragua,12.865416,-85.207229,14,4,7
Seychelles,-4.679574,55.491977,11,0,7
Guantanamo Bay,19.9030921,-75.0966509,1,0,0
United States,37.09024,-95.712891,1064353,61504,126325
Spain,40.463667,-3.74922,236899,24275,132929
Italy,41.87194,12.56738,203591,27682,71252
Iran,32.427908,53.688046,93657,5957,73791
Guadeloupe,16.265,-61.551,149,12,82
Trinidad and Tobago,10.691803,-61.222503,116,8,72
Turks and Caicos,21.694025,-71.797928,12,1,5
Sao Tome and Principe,0.18636,6.613081,10,0,4
St. Barth,17.9,-62.833333,6,0,6
Transnistria,47.2152972,29.4638054,58,3,0
Donetsk People's Republic,48.015883,37.80285,18,0,0
Luhansk People's Republic,48.574041,39.307815,8,0,1
Tajikistan,38.861034,71.276093,0,0,0
French Guiana,3.933889,-53.125782,125,1,93
Saint Martin,18.0708298,-63.0500809,38,3,24
Antigua and Barbuda,17.060816,-61.796428,24,3,11
Gambia,13.443182,-15.310139,11,1,8
Russia,61.52401,105.318756,106498,1073,11619
Ecuador,-1.831239,-78.183406,24675,883,1720
Pakistan,30.375321,69.345116,15759,346,4052
MS Zaandam,0,0,9,2,0
Chile,-35.675147,-71.542969,15135,216,8057
Japan,36.204824,138.252924,14165,437,3187
Poland,51.919438,19.145136,12781,628,23025
Romania,45.943161,24.96676,11978,693,3569
Colombia,4.570868,-74.297333,6211,278,1411
Algeria,28.033886,1.659626,3848,444,1702
Kuwait,29.31166,47.481766,3740,24,1389
Hungary,47.162494,19.5033041,2775,312,581
Afghanistan,33.93911,67.709953,2171,64,260
Armenia,40.069099,45.038189,2066,32,929
North Macedonia,41.608635,21.745275,1442,73,627
Niger,17.607789,8.081666,713,32,435
Costa Rica,9.748917,-83.753428,713,6,323
Jordan,30.585164,36.238414,451,8,356
Iceland,64.963051,-19.020835,1797,10,1656
Slovenia,46.151241,14.995463,1418,89,1091
Taiwan,23.69781,120.960515,429,6,322
